"id","name","content_type_id","codename"
1,Can add log entry,1,add_logentry
2,Can change log entry,1,change_logentry
3,Can delete log entry,1,delete_logentry
4,Can view log entry,1,view_logentry
5,Can add permission,2,add_permission
6,Can change permission,2,change_permission
7,Can delete permission,2,delete_permission
8,Can view permission,2,view_permission
9,Can add group,3,add_group
10,Can change group,3,change_group
11,Can delete group,3,delete_group
12,Can view group,3,view_group
13,Can add user,4,add_user
14,Can change user,4,change_user
15,Can delete user,4,delete_user
16,Can view user,4,view_user
17,Can add content type,5,add_contenttype
18,Can change content type,5,change_contenttype
19,Can delete content type,5,delete_contenttype
20,Can view content type,5,view_contenttype
21,Can add session,6,add_session
22,Can change session,6,change_session
23,Can delete session,6,delete_session
24,Can view session,6,view_session
25,Can add beeyards,7,add_beeyards
26,Can change beeyards,7,change_beeyards
27,Can delete beeyards,7,delete_beeyards
28,Can view beeyards,7,view_beeyards
29,Can add hives,8,add_hives
30,Can change hives,8,change_hives
31,Can delete hives,8,delete_hives
32,Can view hives,8,view_hives
33,Can add intervention,9,add_intervention
34,Can change intervention,9,change_intervention
35,Can delete intervention,9,delete_intervention
36,Can view intervention,9,view_intervention
